아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문9-5. 주요 이용 숙박시설_1,문9-5. 주요 이용 숙박시설_2,문9-5. 주요 이용 숙박시설_3,문9-5. 주요 이용 숙박시설_4,문9-5. 주요 이용 숙박시설_5,문9-5. 주요 이용 숙박시설_6,문9-5. 주요 이용 숙박시설_7,문9-5. 주요 이용 숙박시설_8,문9-5. 주요 이용 숙박시설_9,문9-5. 숙박시설별 숙박기간_호텔,문9-5. 숙박시설별 숙박기간_모텔/여관,문9-5. 숙박시설별 숙박기간_콘도미니엄/리조트,문9-5. 숙박시설별 숙박기간_게스트하우스/호스텔,문9-5. 숙박시설별 숙박기간_민박/펜션,"문9-5. 숙박시설별 숙박기간_학교/회사 기숙사, 연수원 등",문9-5. 숙박시설별 숙박기간_친척 또는 친구 집,문9-5. 숙박시설별 숙박기간_기타,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역
6315,1,2,3,1,1,6.0,2.0,2.0,344.25,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6316,2,2,2,1,1,7.0,2.0,4.0,196.9,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6317,1,1,3,1,1,1.0,13.0,3.0,240.975,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6319,2,2,2,1,4,7.0,1.0,2.0,165.0,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
6320,17,2,3,1,2,11.0,3.0,2.0,74.0,15.0,,,,,,,7.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,친척 또는 친구 집,가족형,1,서울
6321,1,2,2,1,1,7.0,8.0,8.0,197.37,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
6324,1,2,3,1,4,2.0,13.0,6.0,236.057142857143,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
6326,1,2,2,1,1,10.0,8.0,6.0,516.375,8.0,1.0,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6330,4,1,2,1,1,1.0,5.0,4.0,420.0,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6331,15,1,2,1,1,1.0,6.0,3.0,811.0,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,3,서울
6334,1,2,4,1,1,1.0,3.0,3.0,275.4,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
6335,1,2,3,1,2,10.0,2.0,1.0,826.2,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6336,4,2,5,1,1,1.0,6.0,8.0,418.0,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6337,10,2,2,1,4,7.0,2.0,5.0,176.071428571429,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6338,2,2,3,1,3,2.0,2.0,4.0,252.45,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6339,2,2,3,1,1,10.0,5.0,9.0,210.375,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6341,1,2,3,1,1,1.0,11.0,2.0,309.825,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6343,10,1,2,1,2,2.0,3.0,6.0,287.583333333333,18.0,1.0,,,,,,,,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,4,제주
6344,2,2,3,1,1,7.0,6.0,6.0,290.4,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6346,1,2,4,1,2,11.0,1.0,6.0,172.125,8.0,,,,,5.0,,,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,민박/펜션,가족형,2,부산
6348,4,2,2,1,1,1.0,6.0,6.0,413.571428571429,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6349,8,2,3,1,1,1.0,10.0,2.0,423.0,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,2,서울
6350,8,1,3,1,1,8.0,5.0,9.0,145.40625,8.0,1.0,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,2,서울
6352,8,2,4,1,1,1.0,10.0,3.0,256.821428571429,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6353,8,2,5,1,1,8.0,13.0,3.0,206.33,9.0,1.0,,,,,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,2,서울
6354,8,2,3,1,2,2.0,12.0,6.0,157.663636363636,11.0,1.0,,,,,,,8.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,호텔,친구형,3,제주
6355,8,1,2,1,1,5.0,13.0,3.0,771.975,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6358,4,2,2,1,1,1.0,5.0,6.0,355.0,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6359,8,1,2,1,1,1.0,6.0,2.0,226.607142857143,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,2,서울
6362,4,2,3,1,1,1.0,6.0,9.0,355.0,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6364,4,1,2,1,1,1.0,11.0,4.0,459.166666666667,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6366,12,1,2,1,2,8.0,2.0,6.0,437.5,8.0,1.0,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,1,서울
6367,12,1,5,1,2,10.0,12.0,3.0,383.333333333333,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6370,12,1,3,1,4,8.0,2.0,4.0,541.666666666667,12.0,,,,,,,,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,기타,가족형,2,서울
6371,9,2,2,1,1,7.0,2.0,6.0,178.0,5.0,,,,4.0,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,게스트하우스/호스텔,친구형,1,서울
6373,8,2,4,1,3,7.0,6.0,3.0,132.1875,8.0,,,,,,,,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,기타,가족형,2,서울
6374,9,2,4,1,2,2.0,13.0,2.0,364.306666666667,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
6375,9,2,4,1,2,7.0,8.0,5.0,196.986666666667,5.0,,,,4.0,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,게스트하우스/호스텔,가족형,1,서울
6378,9,1,2,1,1,4.0,1.0,8.0,145.0094,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,3,서울
6379,2,2,3,1,1,8.0,13.0,4.0,343.2,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6382,97,2,5,1,1,8.0,13.0,6.0,260.877142857143,14.0,1.0,,,,,,,,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,3,서울
6383,8,1,4,1,4,4.0,6.0,9.0,232.65,10.0,1.0,,,,5.0,,,,,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,민박/펜션,가족형,2,서울
6384,8,2,3,1,1,1.0,13.0,10.0,346.33125,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,3,서울
6386,2,2,3,1,3,2.0,3.0,4.0,206.25,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6387,8,1,2,1,1,1.0,13.0,6.0,140.11875,8.0,1.0,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,직장형,3,서울
6389,97,1,4,1,2,8.0,13.0,10.0,550.5275,8.0,1.0,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
6390,8,1,5,1,4,2.0,4.0,8.0,193.875,12.0,1.0,,,,,,,,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,2,서울
6391,2,2,4,1,4,2.0,2.0,1.0,363.0,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6395,2,2,4,1,2,8.0,14.0,4.0,134.475,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6397,3,1,3,1,1,9.0,7.0,6.0,375.024,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6399,3,1,2,1,1,4.0,2.0,6.0,132.6,8.0,,,,,5.0,,,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,민박/펜션,가족형,2,서울
6401,1,1,5,1,1,1.0,1.0,3.0,112.914,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,2,서울
6402,1,1,4,1,2,5.0,2.0,1.0,165.24,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6403,1,1,3,1,2,4.0,8.0,1.0,172.125,16.0,1.0,,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
6404,2,2,3,1,4,2.0,2.0,4.0,334.95,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6405,2,2,4,1,4,9.0,5.0,5.0,465.3,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6407,10,2,4,1,1,1.0,2.0,3.0,493.0,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,3,서울
6408,1,1,4,1,1,5.0,1.0,3.0,220.32,10.0,1.0,2.0,,,,,,,,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,모텔/여관,혼자형,3,전남
6409,1,2,3,1,1,7.0,1.0,6.0,275.4,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6410,10,2,5,1,3,7.0,3.0,10.0,348.621428571429,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,복합형(가족+친구),2,서울
6411,2,2,3,1,4,6.0,13.0,2.0,445.5,2.0,1.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6415,15,2,3,1,1,8.0,13.0,8.0,273.125,8.0,1.0,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6418,2,2,5,1,4,7.0,1.0,4.0,212.3,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6419,2,2,4,1,1,10.0,1.0,3.0,269.5,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6420,13,2,3,1,1,1.0,5.0,4.0,232.532930714286,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
6421,10,2,6,1,1,1.0,3.0,5.0,328.666666666667,6.0,1.0,,,,,,,8.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,기타,가족형,2,서울
6422,2,2,2,1,1,7.0,2.0,8.0,201.3,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6423,2,2,2,1,1,4.0,13.0,2.0,199.1,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6424,13,2,4,1,1,1.0,5.0,2.0,250.141215,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6425,2,2,2,1,4,2.0,2.0,4.0,402.6,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6426,2,2,3,1,4,5.0,14.0,4.0,583.0,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6428,13,2,2,1,1,1.0,3.0,9.0,300.894505,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6431,2,2,4,1,4,7.0,1.0,4.0,440.0,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
6432,13,1,3,1,1,1.0,5.0,3.0,272.345779375,8.0,1.0,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,2,서울
6433,2,2,2,1,3,7.0,2.0,6.0,198.0,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6434,2,2,2,1,4,7.0,1.0,4.0,213.4,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6435,2,1,3,1,1,5.0,1.0,3.0,218.9,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6436,13,2,5,1,1,1.0,5.0,2.0,217.5141,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6437,2,1,6,1,4,8.0,1.0,6.0,167.2,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
6438,2,2,2,1,4,7.0,1.0,5.0,274.266666666667,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6439,13,1,2,1,1,1.0,5.0,1.0,243.494950833333,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6440,2,2,2,1,4,7.0,13.0,6.0,290.4,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6441,2,2,3,1,4,4.0,12.0,4.0,220.0,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,2,서울
6445,13,2,3,1,1,1.0,6.0,4.0,341.497137,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6446,13,2,5,1,1,1.0,3.0,1.0,252.316356,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6451,4,2,3,1,1,1.0,5.0,8.0,338.355266666667,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
6457,4,2,4,1,1,1.0,5.0,8.0,282.76833,8.0,1.0,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,2,서울
6459,9,2,4,1,2,7.0,1.0,1.0,483.333333333333,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6460,2,1,6,1,4,5.0,5.0,2.0,222.75,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,2,서울
6461,2,2,4,1,4,6.0,4.0,10.0,205.425,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6462,2,2,5,1,4,7.0,8.0,6.0,211.2,2.0,1.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6463,2,2,3,1,4,9.0,14.0,2.0,111.375,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6466,2,2,5,1,2,2.0,2.0,6.0,181.5,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6467,2,1,3,1,4,3.0,4.0,11.0,175.371428571429,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,강원
6468,2,2,2,1,3,7.0,8.0,4.0,192.225,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6470,2,2,4,1,3,5.0,2.0,3.0,206.8,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6471,2,2,3,1,3,2.0,2.0,3.0,377.3,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6472,2,2,2,1,3,9.0,2.0,4.0,209.55,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6473,2,2,2,1,2,7.0,8.0,3.0,309.375,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6474,2,2,3,1,4,10.0,14.0,2.0,226.6,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6476,2,2,2,1,3,10.0,2.0,5.0,325.05,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
6477,2,2,4,1,4,7.0,2.0,5.0,437.745,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6479,2,2,2,1,4,8.0,2.0,3.0,462.0,2.0,1.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6480,2,2,2,1,2,8.0,8.0,2.0,267.3,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,2,서울
6482,2,1,4,1,4,4.0,2.0,4.0,276.1,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
6483,3,2,3,1,1,4.0,5.0,3.0,199.68,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,부산
6484,3,2,5,1,1,5.0,3.0,8.0,222.768,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,부산
6485,3,2,5,1,1,8.0,7.0,3.0,188.448,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,부산
6487,3,2,4,1,2,10.0,5.0,5.0,197.808,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,직장형,2,부산
6489,3,2,4,1,1,5.0,1.0,1.0,223.08,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,1,부산
6490,3,2,4,1,1,4.0,3.0,3.0,218.4,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,부산
6492,3,1,2,1,3,7.0,1.0,1.0,159.9,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,부산
6493,2,2,5,1,3,5.0,1.0,3.0,264.0,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,부산
6498,2,1,2,1,1,4.0,8.0,7.0,147.84,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,2,경북
6499,15,2,2,1,1,1.0,8.0,3.0,313.586666666667,6.0,,,,4.0,,,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,게스트하우스/호스텔,친구형,2,서울
6502,2,2,2,1,1,5.0,3.0,6.0,181.5,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,부산
6503,2,2,5,1,1,10.0,1.0,4.0,176.55,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,부산
6505,2,1,5,1,3,5.0,3.0,3.0,280.5,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,복합형(가족+친구),1,부산
6511,6,2,5,1,1,1.0,5.0,6.0,152.334,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,부산
6512,6,1,4,1,1,1.0,3.0,3.0,174.72,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,복합형(가족+친구),2,부산
6513,6,2,4,1,2,4.0,3.0,4.0,184.275,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,직장형,1,부산
6516,7,1,2,1,1,6.0,3.0,8.0,151.8973465,4.0,,,,4.0,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,게스트하우스/호스텔,친구형,2,부산
6521,6,2,3,1,1,1.0,3.0,4.0,161.07,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,경북
6523,10,2,3,1,2,9.0,1.0,3.0,395.0,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,부산
6531,1,1,6,1,2,5.0,7.0,4.0,172.125,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,인천
6534,8,2,2,1,1,7.0,5.0,6.0,128.822727272727,11.0,,,,4.0,,,,,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,게스트하우스/호스텔,친구형,4,서울
6535,8,1,3,1,1,1.0,12.0,3.0,275.714285714286,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,2,부산
6537,8,2,3,1,2,2.0,5.0,10.0,465.3,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,3,부산
6538,8,2,5,1,3,2.0,3.0,3.0,274.95,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,복합형(가족+친구),1,부산
6539,3,1,5,1,1,4.0,5.0,4.0,212.16,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,복합형(가족+친구),2,부산
6540,3,1,4,1,2,5.0,1.0,1.0,207.168,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,직장형,2,경북
6541,3,2,2,1,2,4.0,1.0,4.0,256.62,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,부산
6543,3,2,6,1,1,4.0,3.0,3.0,237.12,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,복합형(가족+친구),2,부산
6544,3,2,3,1,1,1.0,7.0,3.0,159.466666666667,9.0,1.0,,,,,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,3,서울
6547,2,2,2,1,1,7.0,1.0,6.0,181.5,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,부산
6549,2,2,4,1,4,2.0,1.0,5.0,242.0,3.0,1.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,부산
6552,2,2,3,1,2,7.0,8.0,3.0,144.1,6.0,1.0,2.0,,,,,,,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,2,부산
6553,4,1,2,1,1,7.0,5.0,6.0,357.142857142857,7.0,1.0,,,4.0,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,호텔,친구형,3,서울
6555,2,2,5,1,2,9.0,7.0,1.0,132.188571428571,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,3,서울
6558,15,1,3,1,1,1.0,12.0,3.0,405.0,8.0,1.0,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,3,서울
6560,6,2,2,1,2,10.0,1.0,4.0,152.334,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,직장형,2,부산
6561,6,2,3,1,1,7.0,5.0,4.0,174.72,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,복합형(가족+친구),2,부산
6562,6,1,3,1,1,6.0,1.0,1.0,171.99,4.0,,,,4.0,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,게스트하우스/호스텔,친구형,1,부산
6565,7,1,3,1,1,1.0,3.0,11.0,151.8973465,6.0,1.0,,3.0,,,,,,,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,2,부산
6566,3,2,2,1,1,4.0,5.0,4.0,205.92,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,부산
6567,7,2,3,1,1,9.0,3.0,6.0,253.76645,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,부산
