아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문9-5. 주요 이용 숙박시설_1,문9-5. 주요 이용 숙박시설_2,문9-5. 주요 이용 숙박시설_3,문9-5. 주요 이용 숙박시설_4,문9-5. 주요 이용 숙박시설_5,문9-5. 주요 이용 숙박시설_6,문9-5. 주요 이용 숙박시설_7,문9-5. 주요 이용 숙박시설_8,문9-5. 주요 이용 숙박시설_9,문9-5. 숙박시설별 숙박기간_호텔,문9-5. 숙박시설별 숙박기간_모텔/여관,문9-5. 숙박시설별 숙박기간_콘도미니엄/리조트,문9-5. 숙박시설별 숙박기간_게스트하우스/호스텔,문9-5. 숙박시설별 숙박기간_민박/펜션,"문9-5. 숙박시설별 숙박기간_학교/회사 기숙사, 연수원 등",문9-5. 숙박시설별 숙박기간_친척 또는 친구 집,문9-5. 숙박시설별 숙박기간_기타,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역
121,17,2,3,1,4,5.0,1.0,4.0,231.25,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
122,3,2,2,1,1,7.0,1.0,7.0,166.883333333333,6.0,,,,4.0,,,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,게스트하우스/호스텔,친구형,1,서울
123,5,2,2,1,1,1.0,16.0,2.0,168.54435,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,2,서울
125,2,2,2,1,2,2.0,2.0,4.0,159.75,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
128,1,2,2,1,1,1.0,13.0,6.0,447.36,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
132,6,2,2,1,3,2.0,1.0,5.0,186.15,16.0,,,,,,,7.0,,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,친척 또는 친구 집,혼자형,1,제주
135,1,2,5,1,2,2.0,2.0,3.0,186.4,9.0,1.0,,,,,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,2,경기
136,5,2,3,1,4,9.0,1.0,5.0,299.286,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,2,서울
137,11,1,2,1,1,1.0,4.0,10.0,115.0,11.0,,2.0,,,,,,,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,모텔/여관,가족형,1,서울
138,5,2,2,1,1,8.0,13.0,2.0,335.52,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
