아이디,국가별,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
112,97,1,2,1,1,1.0,4,2,3.0,호텔,친구형,1,서울,0.331,0.0793650793650793,0.0264550264550264,0.0,0.0013227513227513,0.3968253968253971,0.1322751322751324,0.033068783068783
115,17,2,1,1,7,10.0,6,1,4.0,호텔,친구형,2,서울,0.246,0.0307692260355037,0.0107692291124262,0.0,1.538461301775086e-07,0.384615325443796,0.3076922603550371,0.0199999969230773
116,5,1,4,1,5,2.0,3,2,2.0,호텔,가족형,2,서울,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0
118,1,2,2,1,6,1.0,3,2,3.0,콘도미니엄/리조트,친구형,1,서울,0.555,0.0950871632329634,0.0,0.0,0.0015847860538827,0.1901743264659274,0.1584786053882728,0.0
119,1,2,1,1,6,8.0,6,1,2.0,민박/펜션,친구형,1,서울,0.247,0.1236603462489695,0.2885408079142622,0.0,0.0004122011541632,0.2061005770816158,0.0824402308326463,0.0515251442704039
121,17,2,3,4,5,1.0,4,2,3.0,호텔,가족형,1,서울,0.222,0.0740740685871061,0.0,0.0,7.407406858706051e-08,0.1851851714677648,0.5185184801097426,0.0
122,3,2,2,1,6,1.0,7,2,3.0,게스트하우스/호스텔,친구형,1,서울,0.6,0.0666222518321118,0.0,0.0,0.0006662225183211,0.1998667554963357,0.1332445036642239,0.0
123,5,2,2,1,1,11.0,2,2,3.0,호텔,친구형,2,서울,0.273,0.0303029843894176,0.0,0.0,1.5151492194707998e-06,0.3787873048677201,0.3030298438941761,0.0151514921947087
125,2,2,2,2,2,2.0,4,2,2.0,호텔,혼자형,1,서울,0.198,0.1074362407232938,0.0,0.0,1.652865241896828e-05,0.3305730483793656,0.3305730483793656,0.0330573048379365
128,1,2,2,1,1,10.0,6,3,2.0,호텔,친구형,1,서울,0.083,0.0137646249139711,0.0,0.6882312456985543,0.0006882312456985,0.1376462491397113,0.0688231245698554,0.0082587749483826
132,6,2,2,3,2,1.0,5,2,4.0,친척 또는 친구 집,혼자형,1,제주,0.397,0.0463576158940398,0.0,0.0,0.0,0.0,0.5562913907284758,0.0
135,1,2,5,2,2,2.0,3,2,4.0,호텔,친구형,2,경기,0.291,0.0339805825242718,0.0,0.0,0.0,0.1553398058252427,0.4854368932038836,0.0339805825242718
136,5,2,3,4,7,1.0,5,2,2.0,호텔,가족형,2,서울,0.27,0.1243243243243243,0.0,0.0,0.0648648648648648,0.2162162162162162,0.3243243243243243,0.0
137,11,1,2,1,1,4.0,6,2,4.0,모텔/여관,가족형,1,서울,0.392,0.0718954248366013,0.0130718954248366,0.0,0.0,0.326797385620915,0.196078431372549,0.0
