아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,총 국내 지출경비,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
143,17,1,3,1,1,10.0,2.0,4.0,120.0,20.0,호텔,가족형,1,서울,1995.0,0.15037593984962405,0.022556390977443608,0.0,0.0,0.0,0.37593984962406013,0.45112781954887216,0.0
144,2,2,2,1,1,4.0,8.0,6.0,266.25,4.0,호텔,친구형,1,부산,584.2708333333337,0.18987341772151886,0.03797468354430382,0.1392405063291139,0.0,0.0,0.3797468354430377,0.2531645569620257,0.0
145,5,1,3,1,2,8.0,12.0,5.0,173.578571428571,7.0,호텔,가족형,3,서울,788.4898936170224,0.24590163934426257,0.09836065573770476,0.0,0.0,0.0,0.4098360655737701,0.24590163934426257,0.0
146,2,2,5,1,4,5.0,1.0,6.0,205.99865,4.0,호텔,가족형,1,부산,527.0596090090095,0.23943661971831026,0.0,0.0,0.0,0.0,0.5070422535211265,0.25352112676056326,0.0
147,5,1,2,1,1,3.0,2.0,3.0,325.0,4.0,호텔,가족형,1,서울,700.0,0.2857142857142857,0.04285714285714286,0.0,0.0,0.0,0.42857142857142855,0.21428571428571427,0.02857142857142857
148,97,2,5,1,1,1.0,6.0,3.0,236.666666666667,6.0,호텔,가족형,1,서울,614.3262411347516,0.4098360655737705,0.0983606557377049,0.06557377049180328,0.0,0.0,0.32786885245901637,0.0983606557377049,0.0
150,15,1,2,1,1,1.0,12.0,6.0,380.620214285714,7.0,호텔,친구형,1,서울,974.8415,0.36395147313691506,0.02772963604852686,0.008665511265164644,0.0,0.0,0.24263431542461006,0.34662045060658575,0.010398613518197574
151,4,1,4,1,1,1.0,1.0,6.0,187.5,8.0,기타,혼자형,1,서울,684.2284160435075,0.29806259314456013,0.3725782414307006,0.3278688524590165,0.0,0.0,0.0014903129657228092,0.0,0.0
152,1,2,3,1,1,1.0,7.0,3.0,400.0,5.0,호텔,단체형,1,서울,1800.0,0.15555555555555556,0.022222222222222223,0.027777777777777776,0.0,0.0,0.2222222222222222,0.5555555555555556,0.016666666666666666
154,2,1,2,1,1,4.0,10.0,3.0,154.78,5.0,호텔,친구형,2,부산,504.09999999999997,0.29577464788732394,0.028169014084507043,0.0,0.0,0.0,0.35211267605633806,0.32394366197183105,0.0
157,1,2,2,1,1,9.0,6.0,6.0,145.392,5.0,호텔,친구형,1,서울,573.1800000000001,0.24390243902439024,0.12195121951219512,0.0,0.0,0.0,0.3658536585365853,0.24390243902439024,0.024390243902439022
158,97,1,3,1,1,1.0,11.0,10.0,109.47,5.0,게스트하우스/호스텔,친구형,1,서울,492.615,0.5555555555555556,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0
159,2,2,6,1,4,7.0,8.0,4.0,195.25,8.0,호텔,혼자형,1,서울,1207.0,0.17647058823529413,0.041176470588235294,0.29411764705882354,0.0,0.0,0.4117647058823529,0.058823529411764705,0.01764705882352941
162,97,1,4,1,1,1.0,9.0,5.0,133.5534,5.0,게스트하우스/호스텔,친구형,1,서울,452.3582903225806,0.23809523809523883,0.16666666666666674,0.11904761904761897,0.0,0.0,0.47619047619047544,0.0,0.0
164,13,1,3,1,1,5.0,2.0,11.0,213.333333333333,5.0,호텔,가족형,1,서울,491.0052910052909,0.34482758620689596,0.03448275862068959,0.0,0.0,0.0,0.4137931034482756,0.2068965517241388,0.0
165,3,2,2,1,1,7.0,12.0,3.0,174.42,5.0,호텔,단체형,2,부산,872.0999999999999,0.03802281368821294,0.0,0.0,0.0,0.695817490494297,0.0,0.26615969581749,0.0
166,3,1,5,1,1,1.0,1.0,1.0,124.032,5.0,호텔,단체형,2,경북,620.1600000000001,0.0,0.0,0.0,0.0,0.8958333333333333,0.0,0.10416666666666664,0.0
167,11,1,6,1,4,5.0,14.0,7.0,664.0,10.0,호텔,혼자형,1,경기,4640.0,0.08620689655172414,0.0,0.0,0.646551724137931,0.0,0.25862068965517243,0.0,0.008620689655172414
168,3,1,4,1,1,4.0,5.0,3.0,187.34,5.0,호텔,단체형,2,부산,936.7000000000003,0.023972602739726054,0.0,0.0,0.0,0.6335616438356162,0.0,0.34246575342465774,0.0
169,3,2,6,1,1,9.0,3.0,6.0,200.26,4.0,호텔,단체형,1,부산,801.0400000000001,0.0,0.0,0.0,0.0,0.6693548387096774,0.0,0.33064516129032256,0.0
172,5,2,4,1,3,4.0,2.0,6.0,310.1575,4.0,호텔,가족형,1,서울,1111.9339419087141,0.5787037037037039,0.04629629629629625,0.027777777777777755,0.0,0.0,0.11574074074074042,0.2314814814814817,0.0
173,5,2,2,1,4,7.0,13.0,3.0,375.19465,6.0,호텔,친구형,1,서울,2251.04,0.11931818181818184,0.02840909090909091,0.0,0.0,0.0,0.5681818181818182,0.2840909090909091,0.0
174,2,2,2,1,2,7.0,2.0,3.0,331.333333333333,3.0,호텔,가족형,1,서울,994.0000000000002,0.14947683109118104,0.014947683109118105,0.0,0.2989536621823621,0.3736920777279516,0.0,0.14947683109118104,0.013452914798206235
176,3,2,6,1,2,4.0,4.0,8.0,179.265,4.0,호텔,단체형,1,부산,717.06,0.0,0.0,0.0,0.0,0.7522522522522522,0.0,0.24774774774774777,0.0
184,2,2,3,1,4,8.0,2.0,4.0,236.666666666667,3.0,호텔,친구형,1,서울,487.64578833693264,0.23584905660377353,0.023584905660377353,0.0,0.0,0.0,0.23584905660377353,0.47169811320754707,0.03301886792452838
186,4,2,5,1,4,2.0,5.0,2.0,125.0,4.0,모텔/여관,가족형,1,인천,180.8510638297871,0.38235294117647045,0.08823529411764691,0.0,0.0,0.0,0.5294117647058826,0.0,0.0
187,4,2,6,1,3,2.0,11.0,6.0,100.0,4.0,호텔,가족형,1,서울,146.83544303797473,0.3448275862068968,0.0689655172413792,0.0,0.0,0.0,0.5172413793103448,0.0689655172413792,0.0
189,4,1,4,1,1,1.0,7.0,6.0,222.222222222222,9.0,게스트하우스/호스텔,가족형,4,서울,550.3030303030307,0.3964757709251098,0.10132158590308352,0.07048458149779734,0.0,0.0,0.3171806167400887,0.08810572687224666,0.02643171806167391
190,3,2,4,1,2,4.0,3.0,3.0,180.88,4.0,호텔,단체형,2,부산,723.5199999999999,0.0,0.0,0.0,0.0,0.7589285714285714,0.0,0.2410714285714286,0.0
191,3,1,4,1,1,1.0,1.0,4.0,355.3,5.0,호텔,단체형,2,서울,1452.3211678832115,0.2901785714285714,0.03348214285714283,0.11160714285714275,0.0,0.0,0.334821428571429,0.2232142857142855,0.006696428571428572
192,2,2,4,1,1,7.0,5.0,4.0,260.333333333333,3.0,호텔,친구형,1,서울,780.9999999999998,0.18788163457022028,0.02818224518553317,0.07045561296383279,0.0,0.601221230624707,0.0,0.0939408172851104,0.01831845937059655
194,3,1,3,1,1,1.0,16.0,6.0,164.73,5.0,호텔,가족형,1,서울,419.9,0.3653846153846154,0.019230769230769232,0.09615384615384616,0.0,0.0,0.3076923076923077,0.19230769230769232,0.019230769230769232
195,1,2,3,1,1,7.0,12.0,3.0,335.52,5.0,호텔,가족형,1,서울,1677.6,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.4166666666666667,0.0
196,3,2,5,1,2,10.0,1.0,2.0,138.498484848485,6.0,콘도미니엄/리조트,단체형,2,서울,596.0818181818183,0.2709359605911333,0.029556650246305414,0.004926108374384242,0.0,0.0,0.39408866995073893,0.29556650246305377,0.004926108374384242
200,3,2,3,1,1,10.0,2.0,4.0,242.25,6.0,콘도미니엄/리조트,복합형(가족+친구),2,서울,969.0,0.5,0.016666666666666666,0.06666666666666667,0.0,0.0,0.23333333333333334,0.16666666666666666,0.016666666666666666
202,5,2,4,1,2,3.0,2.0,9.0,159.875,5.0,호텔,가족형,1,서울,607.525,0.5263157894736842,0.2631578947368421,0.0,0.0,0.0,0.2105263157894737,0.0,0.0
204,5,1,3,1,1,1.0,2.0,3.0,166.27,5.0,호텔,가족형,1,서울,634.9681102362208,0.5154639175257726,0.2783505154639179,0.0,0.0,0.0,0.20618556701030966,0.0,0.0
206,19,2,2,1,3,9.0,10.0,6.0,547.35,4.0,모텔/여관,혼자형,1,서울,649.1185929648252,0.45762711864406797,0.08474576271186429,0.033898305084745686,0.0,0.0,0.25423728813559304,0.1694915254237292,0.0
207,1,2,6,1,4,7.0,9.0,2.0,148.5375,16.0,친척 또는 친구 집,혼자형,1,서울,2044.1153889199763,0.39037085230969465,0.019518542615484732,0.05855562784645414,0.0,0.0,0.0,0.5204944697462585,0.011060507482107998
208,2,1,2,1,1,7.0,2.0,5.0,236.666666666667,3.0,호텔,가족형,1,서울,710.0000000000005,0.20202020202020254,0.015151515151515145,0.0,0.0,0.5050505050505053,0.0,0.25252525252525193,0.025252525252525193
211,4,2,5,1,1,1.0,5.0,6.0,416.666666666667,3.0,호텔,가족형,1,서울,484.6938775510217,0.2315789473684213,0.031578947368420984,0.21052631578947392,0.0,0.0,0.5263157894736837,0.0,0.0
212,4,1,2,1,1,1.0,1.0,6.0,416.666666666667,3.0,호텔,가족형,1,서울,484.6938775510217,0.2315789473684213,0.031578947368420984,0.21052631578947392,0.0,0.0,0.5263157894736837,0.0,0.0
215,1,2,2,1,2,6.0,14.0,4.0,1118.4,4.0,호텔,친구형,1,서울,4193.123510971785,0.06020066889632113,0.033444816053511815,0.0,0.1672240802675586,0.0,0.0668896321070234,0.668896321070234,0.003344481605351182
216,1,2,1,1,1,7.0,1.0,6.0,153.78,5.0,호텔,친구형,1,서울,658.0675675675676,0.1473684210526316,0.042105263157894875,0.0,0.0,0.0,0.16842105263157828,0.6315789473684216,0.01052631578947369
221,2,2,4,1,1,5.0,11.0,3.0,266.25,4.0,호텔,친구형,1,부산,821.3725490196075,0.1355932203389827,0.01694915254237284,0.0,0.0,0.0,0.16949152542372914,0.6779661016949152,0.0
222,1,2,2,1,1,1.0,11.0,3.0,120.228,5.0,호텔,친구형,2,인천,601.1400000000001,0.0,0.0697674418604651,0.0,0.0,0.4651162790697674,0.0,0.4651162790697674,0.0
230,1,2,3,1,3,7.0,8.0,2.0,292.415,6.0,호텔,친구형,1,서울,1474.89,0.14218009478672983,0.01895734597156398,0.4739336492890995,0.0,0.0,0.17061611374407581,0.18957345971563982,0.004739336492890995
231,1,1,2,1,2,7.0,9.0,11.0,239.058,5.0,호텔,친구형,1,서울,988.014277456647,0.2377622377622382,0.020979020979021025,0.013986013986014017,0.0,0.0,0.4195804195804195,0.27972027972027935,0.027972027972027934
232,6,2,3,1,1,1.0,5.0,4.0,163.52,5.0,호텔,복합형(가족+친구),1,부산,817.6000000000001,0.017730496453900683,0.0,0.0,0.0,0.6631205673758865,0.0,0.3191489361702128,0.0
235,12,1,2,1,2,9.0,1.0,6.0,357.142857142857,7.0,게스트하우스/호스텔,친구형,2,서울,1377.5510204081634,0.14814814814814797,0.5185185185185183,0.07407407407407435,0.0,0.0,0.08888888888888907,0.14814814814814797,0.022222222222222233
236,1,2,5,1,1,8.0,3.0,9.0,209.7,5.0,호텔,가족형,1,서울,762.032301480485,0.18518518518518495,0.07407407407407408,0.0,0.0,0.0,0.46296296296296274,0.2777777777777781,0.0
237,1,2,2,1,1,9.0,1.0,6.0,256.3,6.0,호텔,친구형,1,서울,1204.9428571428587,0.16574585635359118,0.0883977900552485,0.0,0.13259668508287312,0.0,0.27624309392265173,0.33149171270718236,0.005524861878453034
239,2,2,5,1,4,2.0,13.0,4.0,242.82,5.0,호텔,가족형,1,서울,947.85,0.11235955056179775,0.011235955056179775,0.0,0.5617977528089888,0.0,0.12734082397003746,0.18726591760299624,0.0
240,1,2,3,1,3,5.0,8.0,6.0,355.092,5.0,호텔,가족형,3,서울,1490.994033149171,0.09398496240601499,0.017857142857142853,0.0,0.0,0.0,0.22556390977443597,0.6578947368421054,0.004699248120300753
243,1,2,2,1,1,9.0,2.0,9.0,232.068,5.0,호텔,가족형,2,서울,874.1321992709602,0.14516129032258115,0.06451612903225808,0.0,0.0,0.0,0.403225806451613,0.37096774193548326,0.01612903225806452
246,4,1,4,1,1,3.0,1.0,4.0,400.0,8.0,호텔,혼자형,1,서울,1690.566037735848,0.2976190476190476,0.047619047619047616,0.05952380952380952,0.0,0.0,0.5952380952380952,0.0,0.0
247,4,2,2,1,1,1.0,2.0,6.0,166.666666666667,18.0,호텔,친구형,3,서울,1962.8432956381255,0.14814814814814797,0.08888888888888889,0.024691358024691325,0.027160493827160462,0.0,0.3950617283950617,0.2962962962962964,0.01975308641975311
248,1,1,3,1,1,5.0,2.0,5.0,297.075,4.0,호텔,가족형,1,서울,981.0383720930229,0.1408450704225351,0.035211267605633825,0.0,0.0,0.0,0.10563380281690107,0.7042253521126765,0.014084507042253511
250,6,1,2,1,1,4.0,4.0,5.0,156.9208,5.0,호텔,친구형,2,경북,463.404,0.054820415879017016,0.0630119722747322,0.0630119722747322,0.0,0.0,0.630119722747322,0.1890359168241966,0.0
251,6,2,2,1,1,4.0,6.0,3.0,166.857142857143,7.0,모텔/여관,가족형,2,서울,720.4904214559396,0.2525879917184265,0.11180124223602465,0.16563146997929631,0.0,0.0,0.16563146997929631,0.28985507246376785,0.014492753623188394
255,6,2,5,1,1,1.0,4.0,4.0,146.0,4.0,호텔,단체형,2,부산,584.0,0.0,0.0,0.0,0.0,0.9,0.0,0.09999999999999999,0.0
258,6,1,4,1,1,8.0,5.0,9.0,175.2,4.0,호텔,단체형,2,부산,700.8000000000001,0.020833333333333332,0.0,0.0,0.0,0.7708333333333334,0.0,0.20833333333333331,0.0
259,3,2,3,1,3,2.0,3.0,1.0,183.033333333333,6.0,호텔,친구형,2,부산,740.7976331360945,0.23684210526315774,0.06578947368421051,0.01096491228070176,0.0,0.0,0.1973684210526321,0.48245614035087686,0.006578947368421048
260,2,2,4,1,4,7.0,2.0,10.0,185.191666666667,4.0,호텔,가족형,1,서울,740.7666666666663,0.14376996805111827,0.015974440894568655,0.0,0.0,0.6709265175718853,0.0,0.15974440894568653,0.009584664536741219
261,2,1,5,1,4,5.0,6.0,4.0,228.0875,4.0,호텔,가족형,1,서울,628.9014563106789,0.2816901408450704,0.030985915492957754,0.1126760563380283,0.0,0.0,0.2816901408450704,0.2816901408450704,0.01126760563380283
267,3,2,2,1,2,9.0,1.0,1.0,179.265,4.0,호텔,단체형,2,부산,717.0600000000001,0.0,0.0,0.0,0.0,0.7747747747747747,0.0,0.2252252252252252,0.0
271,3,1,2,1,2,5.0,3.0,3.0,193.8,5.0,호텔,복합형(가족+친구),1,부산,575.7370129870127,0.19125683060109236,0.032786885245901655,0.021857923497267798,0.0,0.0,0.30054644808743136,0.43715846994535595,0.016393442622950827
272,1,2,4,1,4,7.0,8.0,6.0,325.035,4.0,호텔,친구형,1,서울,1076.46,0.23376623376623373,0.025974025974025972,0.20779220779220778,0.0,0.0,0.5194805194805195,0.0,0.012987012987012986
273,1,2,2,1,3,7.0,11.0,3.0,51.26,30.0,친척 또는 친구 집,혼자형,1,서울,1138.3714285714289,0.46783625730994177,0.07602339181286542,0.0,0.09356725146198853,0.0,0.0,0.3508771929824558,0.011695906432748523
274,4,2,3,1,4,2.0,12.0,10.0,,,기타,혼자형,2,서울,5297.872340425528,0.4016064257028106,0.06024096385542158,0.010040160642570283,0.0,0.0,0.4618473895582337,0.040160642570281055,0.02610441767068284
276,3,2,2,1,2,5.0,3.0,5.0,249.786666666667,6.0,민박/펜션,단체형,1,서울,1078.8200000000002,0.26946107784431134,0.10179640718562874,0.08982035928143711,0.0,0.0,0.0748502994011976,0.44910179640718556,0.014970059880239518
277,8,2,2,1,2,4.0,12.0,10.0,145.591,5.0,호텔,가족형,2,서울,402.005,0.13513513513513514,0.05405405405405406,0.05405405405405406,0.0,0.0,0.21621621621621623,0.5405405405405406,0.0
278,8,2,3,1,1,7.0,13.0,6.0,263.864285714286,7.0,게스트하우스/호스텔,단체형,2,서울,1847.0500000000002,0.23529411764705882,0.023529411764705882,0.023529411764705882,0.0,0.47058823529411764,0.0,0.23529411764705882,0.011764705882352941
281,4,1,4,1,1,1.0,12.0,6.0,1000.0,3.0,호텔,혼자형,1,서울,993.3110367892975,0.3030303030303027,0.12121212121212109,0.0,0.0,0.0,0.5050505050505055,0.07070707070707073,0.0
282,97,2,4,1,1,1.0,2.0,2.0,162.5,16.0,호텔,가족형,1,서울,524.1516966067857,0.13861386138613868,0.0693069306930694,0.0,0.0,0.0,0.39603960396039595,0.39603960396039595,0.0
285,4,1,3,1,1,1.0,14.0,6.0,59.2592592592593,27.0,친척 또는 친구 집,가족형,3,대전,1001.122894572676,0.3988035892323033,0.1744765702891327,0.0029910269192422747,0.0,0.0,0.17447657028913222,0.24925224327018958,0.0
286,3,1,2,1,2,4.0,5.0,1.0,90.117,5.0,호텔,친구형,2,부산,95.285,0.0847457627118644,0.6779661016949152,0.0,0.0,0.0,0.23728813559322035,0.0,0.0
288,3,2,5,1,2,8.0,2.0,3.0,504.6875,4.0,호텔,친구형,1,서울,1582.7,0.22448979591836735,0.026530612244897955,0.0,0.08163265306122448,0.0,0.24489795918367346,0.40816326530612246,0.014285714285714285
289,1,2,2,1,3,7.0,8.0,2.0,228.763636363636,11.0,친척 또는 친구 집,혼자형,2,서울,2236.8,0.18749999999999997,0.049999999999999996,0.37499999999999994,0.18749999999999997,0.0,0.0,0.18749999999999997,0.012499999999999999
