아이디,연령별,한국 방문횟수(카테고리),문3-2. 고려한 관광인프라_1,여행동반자_그룹,방문 지역 수,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문3-1. 고려한 관광활동_1순위,문1-1. 한국여행 관심 계기_1순위
169,6,1,여행 편의성,단체형,1,수도권/지방형(탐험가형),200.26,4.0,"역사, 전통, 자연",K-컬처형
172,4,3,여행 편의성,가족형,1,서울 단기형,310.1575,4.0,도시 소비형,가성비 및 접근성
173,2,4,안전 및 퀄리티,친구형,1,서울 심층형,375.19465,6.0,특수 목적,K-컬처형
174,2,2,안전 및 퀄리티,가족형,1,서울 단기형,331.333333333333,3.0,도시 소비형,K-컬처형
176,6,2,여행 편의성,단체형,1,수도권/지방형(탐험가형),179.265,4.0,"역사, 전통, 자연",가성비 및 접근성
184,3,4,가성비,친구형,1,서울 단기형,236.666666666667,3.0,도시 소비형,K-컬처형
186,5,4,여행 편의성,가족형,1,수도권/지방형(탐험가형),125.0,4.0,"역사, 전통, 자연",경험 및 관계
187,6,3,여행 편의성,가족형,1,서울 단기형,100.0,4.0,경험형,경험 및 관계
189,4,1,여행 편의성,가족형,4,서울 심층형,222.222222222222,9.0,경험형,경험 및 관계
190,4,2,안전 및 퀄리티,단체형,2,수도권/지방형(탐험가형),180.88,4.0,"역사, 전통, 자연",가성비 및 접근성
191,4,1,가성비,단체형,2,서울 단기형,355.3,5.0,도시 소비형,경험 및 관계
192,4,1,가성비,친구형,1,서울 단기형,260.333333333333,3.0,"역사, 전통, 자연",K-컬처형
194,3,1,여행 편의성,가족형,1,서울 단기형,164.73,5.0,도시 소비형,경험 및 관계
195,3,1,안전 및 퀄리티,가족형,1,서울 단기형,335.52,5.0,특수 목적,K-컬처형
196,5,2,여행 편의성,단체형,2,서울 심층형,138.498484848485,6.0,도시 소비형,가성비 및 접근성
200,3,1,가성비,복합형(가족+친구),2,서울 심층형,242.25,6.0,도시 소비형,가성비 및 접근성
202,4,2,여행 편의성,가족형,1,서울 단기형,159.875,5.0,도시 소비형,경험 및 관계
204,3,1,안전 및 퀄리티,가족형,1,서울 단기형,166.27,5.0,도시 소비형,경험 및 관계
206,2,3,여행 편의성,혼자형,1,서울 단기형,547.35,4.0,특수 목적,K-컬처형
207,6,4,여행 편의성,혼자형,1,서울 심층형,148.5375,16.0,경험형,K-컬처형
208,2,1,안전 및 퀄리티,가족형,1,서울 단기형,236.666666666667,3.0,도시 소비형,K-컬처형
211,5,1,여행 편의성,가족형,1,서울 단기형,416.666666666667,3.0,"역사, 전통, 자연",경험 및 관계
212,2,1,여행 편의성,가족형,1,서울 단기형,416.666666666667,3.0,도시 소비형,경험 및 관계
215,2,2,가성비,친구형,1,서울 단기형,1118.4,4.0,경험형,가성비 및 접근성
216,1,1,여행 편의성,친구형,1,서울 단기형,153.78,5.0,도시 소비형,K-컬처형
221,4,1,안전 및 퀄리티,친구형,1,수도권/지방형(탐험가형),266.25,4.0,경험형,가성비 및 접근성
222,2,1,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),120.228,5.0,경험형,경험 및 관계
230,3,3,여행 편의성,친구형,1,서울 심층형,292.415,6.0,경험형,K-컬처형
231,2,2,여행 편의성,친구형,1,서울 단기형,239.058,5.0,경험형,K-컬처형
232,3,1,가성비,복합형(가족+친구),1,수도권/지방형(탐험가형),163.52,5.0,"역사, 전통, 자연",경험 및 관계
235,2,2,여행 편의성,친구형,2,서울 심층형,357.142857142857,7.0,도시 소비형,K-컬처형
236,5,1,여행 편의성,가족형,1,서울 단기형,209.7,5.0,"역사, 전통, 자연",K-컬처형
237,2,1,여행 편의성,친구형,1,서울 심층형,256.3,6.0,도시 소비형,K-컬처형
239,5,4,가성비,가족형,1,서울 단기형,242.82,5.0,특수 목적,경험 및 관계
240,3,3,여행 편의성,가족형,3,서울 단기형,355.092,5.0,경험형,가성비 및 접근성
243,2,1,여행 편의성,가족형,2,서울 단기형,232.068,5.0,도시 소비형,K-컬처형
246,4,1,가성비,혼자형,1,서울 심층형,400.0,8.0,도시 소비형,경험 및 관계
247,2,1,여행 편의성,친구형,3,서울 심층형,166.666666666667,18.0,도시 소비형,경험 및 관계
248,3,1,안전 및 퀄리티,가족형,1,서울 단기형,297.075,4.0,도시 소비형,가성비 및 접근성
250,2,1,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),156.9208,5.0,"역사, 전통, 자연",가성비 및 접근성
251,2,1,안전 및 퀄리티,가족형,2,서울 심층형,166.857142857143,7.0,"역사, 전통, 자연",가성비 및 접근성
255,5,1,가성비,단체형,2,수도권/지방형(탐험가형),146.0,4.0,"역사, 전통, 자연",경험 및 관계
258,4,1,여행 편의성,단체형,2,수도권/지방형(탐험가형),175.2,4.0,"역사, 전통, 자연",K-컬처형
259,3,3,여행 편의성,친구형,2,수도권/지방형(탐험가형),183.033333333333,6.0,"역사, 전통, 자연",경험 및 관계
260,4,4,여행 편의성,가족형,1,서울 단기형,185.191666666667,4.0,도시 소비형,K-컬처형
261,5,4,가성비,가족형,1,서울 단기형,228.0875,4.0,"역사, 전통, 자연",가성비 및 접근성
267,2,2,여행 편의성,단체형,2,수도권/지방형(탐험가형),179.265,4.0,도시 소비형,K-컬처형
271,2,2,안전 및 퀄리티,복합형(가족+친구),1,수도권/지방형(탐험가형),193.8,5.0,"역사, 전통, 자연",가성비 및 접근성
272,4,4,여행 편의성,친구형,1,서울 단기형,325.035,4.0,경험형,K-컬처형
273,2,3,안전 및 퀄리티,혼자형,1,서울 심층형,51.26,30.0,경험형,K-컬처형
276,2,2,안전 및 퀄리티,단체형,1,서울 심층형,249.786666666667,6.0,"역사, 전통, 자연",가성비 및 접근성
277,2,2,여행 편의성,가족형,2,서울 단기형,145.591,5.0,특수 목적,가성비 및 접근성
278,3,1,여행 편의성,단체형,2,서울 심층형,263.864285714286,7.0,특수 목적,K-컬처형
281,4,1,여행 편의성,혼자형,1,서울 단기형,1000.0,3.0,특수 목적,경험 및 관계
282,4,1,여행 편의성,가족형,1,서울 심층형,162.5,16.0,도시 소비형,경험 및 관계
285,3,1,여행 편의성,가족형,3,수도권/지방형(탐험가형),59.2592592592593,27.0,경험형,경험 및 관계
286,2,2,여행 편의성,친구형,2,수도권/지방형(탐험가형),90.117,5.0,"역사, 전통, 자연",가성비 및 접근성
288,5,2,안전 및 퀄리티,친구형,1,서울 단기형,504.6875,4.0,도시 소비형,K-컬처형
289,2,3,여행 편의성,혼자형,2,서울 심층형,228.763636363636,11.0,경험형,K-컬처형
291,2,1,가성비,친구형,1,서울 심층형,137.623333333333,6.0,"역사, 전통, 자연",경험 및 관계
292,4,1,여행 편의성,가족형,2,서울 심층형,217.3,9.0,"역사, 전통, 자연",경험 및 관계
293,5,1,안전 및 퀄리티,가족형,2,서울 심층형,120.722222222222,6.0,특수 목적,경험 및 관계
294,6,1,안전 및 퀄리티,가족형,1,서울 심층형,133.333333333333,6.0,"역사, 전통, 자연",경험 및 관계
296,4,4,여행 편의성,가족형,2,수도권/지방형(탐험가형),269.166666666667,6.0,특수 목적,경험 및 관계
297,3,1,안전 및 퀄리티,친구형,1,수도권/지방형(탐험가형),345.0,4.0,"역사, 전통, 자연",경험 및 관계
298,5,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),239.70752,5.0,도시 소비형,경험 및 관계
299,2,1,여행 편의성,가족형,1,서울 단기형,376.8,5.0,도시 소비형,경험 및 관계
302,2,1,안전 및 퀄리티,가족형,2,서울 심층형,210.121428571429,7.0,도시 소비형,가성비 및 접근성
303,1,1,가성비,가족형,1,서울 단기형,239.02,5.0,도시 소비형,K-컬처형
304,5,4,여행 편의성,단체형,2,서울 심층형,438.357142857143,7.0,도시 소비형,경험 및 관계
305,4,2,안전 및 퀄리티,단체형,2,수도권/지방형(탐험가형),236.0,5.0,"역사, 전통, 자연",K-컬처형
306,5,1,안전 및 퀄리티,가족형,1,수도권/지방형(탐험가형),157.0,6.0,도시 소비형,K-컬처형
307,4,1,여행 편의성,복합형(가족+친구),2,수도권/지방형(탐험가형),151.84,5.0,도시 소비형,경험 및 관계
308,2,1,여행 편의성,가족형,2,서울 심층형,144.349285714286,7.0,경험형,경험 및 관계
310,4,3,여행 편의성,가족형,2,서울 단기형,290.7,5.0,도시 소비형,가성비 및 접근성
311,3,1,여행 편의성,가족형,1,서울 심층형,240.096666666667,6.0,특수 목적,K-컬처형
313,4,1,안전 및 퀄리티,가족형,3,서울 단기형,304.22,5.0,도시 소비형,경험 및 관계
314,3,3,여행 편의성,친구형,1,서울 단기형,383.5625,4.0,도시 소비형,K-컬처형
315,4,1,여행 편의성,가족형,2,서울 단기형,646.0,4.0,"역사, 전통, 자연",가성비 및 접근성
317,2,2,여행 편의성,가족형,1,서울 단기형,335.92,5.0,"역사, 전통, 자연",경험 및 관계
319,2,1,여행 편의성,혼자형,1,서울 심층형,228.571428571429,7.0,특수 목적,K-컬처형
322,2,3,여행 편의성,친구형,1,서울 심층형,130.38,6.0,특수 목적,경험 및 관계
323,3,2,여행 편의성,친구형,2,수도권/지방형(탐험가형),191.766016,5.0,도시 소비형,K-컬처형
325,4,1,안전 및 퀄리티,가족형,2,서울 단기형,320.0,5.0,"역사, 전통, 자연",경험 및 관계
328,2,1,여행 편의성,친구형,1,서울 심층형,507.033333333333,6.0,"역사, 전통, 자연",K-컬처형
329,3,2,여행 편의성,친구형,2,수도권/지방형(탐험가형),194.76236,5.0,도시 소비형,경험 및 관계
330,6,1,여행 편의성,단체형,2,수도권/지방형(탐험가형),202.25322,5.0,도시 소비형,가성비 및 접근성
332,3,1,안전 및 퀄리티,가족형,2,서울 단기형,339.15,4.0,도시 소비형,K-컬처형
333,5,1,가성비,단체형,2,수도권/지방형(탐험가형),228.47123,4.0,"역사, 전통, 자연",가성비 및 접근성
334,4,1,여행 편의성,가족형,2,서울 심층형,141.245,8.0,경험형,경험 및 관계
336,1,1,안전 및 퀄리티,가족형,2,서울 심층형,67.90625,8.0,"역사, 전통, 자연",경험 및 관계
337,3,2,안전 및 퀄리티,가족형,1,서울 심층형,102.613888888889,6.0,특수 목적,경험 및 관계
341,4,1,안전 및 퀄리티,가족형,1,서울 심층형,650.0,8.0,"역사, 전통, 자연",경험 및 관계
344,2,1,여행 편의성,친구형,2,서울 심층형,162.301966666667,6.0,"역사, 전통, 자연",K-컬처형
345,2,1,여행 편의성,친구형,3,서울 심층형,214.285714285714,7.0,"역사, 전통, 자연",가성비 및 접근성
346,4,1,안전 및 퀄리티,친구형,1,서울 심층형,471.428571428571,7.0,특수 목적,경험 및 관계
347,2,1,여행 편의성,친구형,1,서울 심층형,833.333333333333,6.0,특수 목적,K-컬처형
