아이디,연령별,한국 방문횟수(카테고리),문3-2. 고려한 관광인프라_1,여행동반자_그룹,방문 지역 수,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문3-1. 고려한 관광활동_1순위,문1-1. 한국여행 관심 계기_1순위
1339,2,1,여행 편의성,가족형,1,서울 단기형,460.6665,3.0,특수 목적,K-컬처형
1340,3,1,안전 및 퀄리티,친구형,1,서울 단기형,474.0,5.0,도시 소비형,경험 및 관계
1341,3,1,안전 및 퀄리티,가족형,1,서울 심층형,350.0,6.0,"역사, 전통, 자연",경험 및 관계
1342,5,3,안전 및 퀄리티,친구형,1,서울 단기형,581.9175,4.0,도시 소비형,K-컬처형
1344,2,3,가성비,친구형,1,서울 단기형,244.0625,4.0,도시 소비형,가성비 및 접근성
1347,2,2,안전 및 퀄리티,친구형,1,서울 단기형,205.9,3.0,도시 소비형,가성비 및 접근성
1348,5,4,가성비,친구형,1,서울 단기형,295.833333333333,3.0,경험형,경험 및 관계
1349,2,3,가성비,친구형,1,서울 단기형,190.8125,4.0,도시 소비형,K-컬처형
1350,6,4,가성비,친구형,1,서울 단기형,370.146666666667,3.0,특수 목적,경험 및 관계
1353,2,1,가성비,친구형,1,서울 단기형,298.2,3.0,특수 목적,K-컬처형
1354,2,2,여행 편의성,친구형,1,서울 단기형,364.466666666667,3.0,특수 목적,가성비 및 접근성
1355,3,4,안전 및 퀄리티,친구형,1,서울 단기형,331.333333333333,3.0,특수 목적,K-컬처형
1356,4,3,여행 편의성,가족형,1,서울 단기형,549.066666666667,3.0,도시 소비형,K-컬처형
1359,2,1,여행 편의성,친구형,1,서울 단기형,293.466666666667,3.0,도시 소비형,K-컬처형
1360,2,1,가성비,친구형,1,서울 단기형,284.0,3.0,도시 소비형,K-컬처형
1363,3,4,여행 편의성,혼자형,1,서울 단기형,544.096666666667,3.0,경험형,K-컬처형
1364,3,3,여행 편의성,가족형,1,서울 단기형,507.65,2.0,특수 목적,경험 및 관계
1365,2,1,안전 및 퀄리티,친구형,1,서울 단기형,227.2,3.0,도시 소비형,K-컬처형
1366,2,4,여행 편의성,친구형,1,서울 심층형,321.528571428571,7.0,경험형,경험 및 관계
1367,3,4,안전 및 퀄리티,가족형,1,서울 단기형,177.5,3.0,특수 목적,K-컬처형
1368,4,4,여행 편의성,가족형,1,서울 단기형,1579.75,4.0,경험형,가성비 및 접근성
1370,5,4,안전 및 퀄리티,가족형,1,수도권/지방형(탐험가형),59.9142857142857,21.0,"역사, 전통, 자연",가성비 및 접근성
1371,2,3,안전 및 퀄리티,혼자형,1,서울 단기형,414.166666666667,3.0,경험형,K-컬처형
1373,3,2,가성비,친구형,1,서울 단기형,378.666666666667,3.0,도시 소비형,경험 및 관계
1374,4,4,안전 및 퀄리티,가족형,1,서울 단기형,201.166666666667,3.0,도시 소비형,K-컬처형
1375,6,4,여행 편의성,친구형,1,서울 단기형,248.5,3.0,도시 소비형,경험 및 관계
1377,5,1,가성비,친구형,1,서울 단기형,236.666666666667,3.0,"역사, 전통, 자연",경험 및 관계
1378,2,1,가성비,친구형,1,서울 단기형,307.666666666667,3.0,도시 소비형,K-컬처형
1381,1,1,안전 및 퀄리티,친구형,1,서울 심층형,126.0,11.0,"역사, 전통, 자연",K-컬처형
1384,1,2,여행 편의성,가족형,1,서울 심층형,105.259615384615,13.0,경험형,경험 및 관계
1400,2,1,여행 편의성,혼자형,1,서울 심층형,106.152727272727,33.0,경험형,K-컬처형
1402,2,1,여행 편의성,가족형,1,서울 심층형,351.25,8.0,경험형,경험 및 관계
1404,5,1,안전 및 퀄리티,가족형,1,수도권/지방형(탐험가형),307.666666666667,4.0,경험형,경험 및 관계
1406,3,1,가성비,친구형,1,서울 단기형,298.2,4.0,도시 소비형,경험 및 관계
1407,2,1,여행 편의성,혼자형,1,서울 심층형,218.94,16.0,경험형,경험 및 관계
1409,2,1,여행 편의성,친구형,1,서울 심층형,156.385714285714,14.0,도시 소비형,K-컬처형
1412,3,1,여행 편의성,가족형,1,서울 심층형,331.428571428571,7.0,"역사, 전통, 자연",경험 및 관계
1413,4,2,안전 및 퀄리티,가족형,1,서울 단기형,521.85,4.0,특수 목적,K-컬처형
1414,3,1,안전 및 퀄리티,혼자형,1,서울 심층형,205.25625,8.0,"역사, 전통, 자연",K-컬처형
1415,4,1,여행 편의성,친구형,1,서울 단기형,239.625,4.0,도시 소비형,K-컬처형
1417,2,1,여행 편의성,친구형,1,서울 심층형,156.385714285714,14.0,"역사, 전통, 자연",경험 및 관계
1421,3,1,여행 편의성,가족형,4,서울 심층형,153.779285714286,21.0,경험형,경험 및 관계
1423,4,4,가성비,혼자형,2,서울 단기형,211.58,5.0,도시 소비형,경험 및 관계
1424,5,4,여행 편의성,친구형,1,서울 단기형,205.9,3.0,특수 목적,가성비 및 접근성
1427,2,4,안전 및 퀄리티,혼자형,2,서울 심층형,282.387857142857,7.0,경험형,경험 및 관계
1428,3,4,안전 및 퀄리티,혼자형,1,서울 심층형,337.5,10.0,도시 소비형,경험 및 관계
1433,3,2,안전 및 퀄리티,혼자형,1,서울 단기형,270.0,5.0,"역사, 전통, 자연",K-컬처형
1436,5,4,가성비,친구형,1,서울 단기형,454.4,3.0,특수 목적,경험 및 관계
1437,5,4,안전 및 퀄리티,가족형,1,서울 심층형,471.0,6.0,"역사, 전통, 자연",경험 및 관계
1438,5,2,안전 및 퀄리티,가족형,2,서울 심층형,251.2,6.0,도시 소비형,경험 및 관계
1439,2,4,여행 편의성,혼자형,1,서울 심층형,326.56,6.0,특수 목적,경험 및 관계
1443,2,4,여행 편의성,가족형,1,서울 심층형,162.5,8.0,경험형,경험 및 관계
1444,5,1,안전 및 퀄리티,가족형,1,서울 심층형,225.266666666667,7.0,도시 소비형,경험 및 관계
1447,5,4,안전 및 퀄리티,가족형,2,서울 심층형,133.229166666667,6.0,"역사, 전통, 자연",K-컬처형
1449,4,4,안전 및 퀄리티,혼자형,1,서울 단기형,426.333333333333,3.0,특수 목적,K-컬처형
1451,2,2,여행 편의성,친구형,1,서울 단기형,248.0,5.0,경험형,K-컬처형
1455,2,1,여행 편의성,친구형,1,서울 심층형,275.0,8.0,"역사, 전통, 자연",K-컬처형
1456,2,1,여행 편의성,가족형,1,서울 단기형,241.333333333333,3.0,특수 목적,경험 및 관계
1458,5,1,안전 및 퀄리티,가족형,1,서울 단기형,244.65,4.0,"역사, 전통, 자연",K-컬처형
1459,2,1,안전 및 퀄리티,복합형(가족+친구),1,서울 심층형,346.666666666667,15.0,"역사, 전통, 자연",경험 및 관계
1461,3,4,여행 편의성,복합형(가족+친구),1,서울 단기형,301.44,5.0,특수 목적,경험 및 관계
1462,1,1,안전 및 퀄리티,가족형,1,서울 단기형,195.72,4.0,경험형,K-컬처형
1463,5,2,여행 편의성,가족형,3,서울 심층형,154.145454545455,11.0,"역사, 전통, 자연",경험 및 관계
1465,6,1,안전 및 퀄리티,가족형,1,서울 단기형,487.5,4.0,경험형,경험 및 관계
1466,1,1,여행 편의성,친구형,2,서울 단기형,783.333333333333,3.0,특수 목적,경험 및 관계
1467,3,1,가성비,단체형,1,서울 단기형,223.68,5.0,"역사, 전통, 자연",K-컬처형
1468,3,1,안전 및 퀄리티,친구형,1,서울 심층형,276.32,6.0,특수 목적,K-컬처형
1472,4,3,여행 편의성,친구형,1,서울 단기형,615.12,5.0,도시 소비형,가성비 및 접근성
1473,5,4,안전 및 퀄리티,가족형,1,서울 심층형,299.6344,15.0,"역사, 전통, 자연",경험 및 관계
1474,3,3,안전 및 퀄리티,가족형,2,서울 심층형,586.133333333333,9.0,특수 목적,경험 및 관계
1476,2,1,여행 편의성,친구형,1,서울 단기형,125.82,5.0,"역사, 전통, 자연",경험 및 관계
1481,2,2,여행 편의성,가족형,1,서울 심층형,561.61875,8.0,도시 소비형,K-컬처형
1483,5,1,안전 및 퀄리티,친구형,1,서울 단기형,275.716666666667,3.0,특수 목적,가성비 및 접근성
1484,5,4,여행 편의성,가족형,1,서울 단기형,199.6875,4.0,도시 소비형,K-컬처형
1487,2,1,안전 및 퀄리티,친구형,1,서울 단기형,286.5392,5.0,특수 목적,경험 및 관계
1490,1,1,안전 및 퀄리티,친구형,1,서울 심층형,325.0,8.0,"역사, 전통, 자연",경험 및 관계
1491,2,2,여행 편의성,혼자형,1,서울 심층형,248.795454545455,11.0,경험형,경험 및 관계
1493,2,1,안전 및 퀄리티,혼자형,1,서울 단기형,257.7312,5.0,경험형,K-컬처형
1500,4,4,안전 및 퀄리티,친구형,1,서울 심층형,301.44,7.0,도시 소비형,경험 및 관계
1506,4,3,가성비,가족형,2,서울 단기형,451.4344,5.0,"역사, 전통, 자연",경험 및 관계
1508,5,2,안전 및 퀄리티,가족형,1,서울 단기형,701.796,5.0,경험형,K-컬처형
1512,5,4,여행 편의성,복합형(가족+친구),2,서울 심층형,122.142857142857,7.0,특수 목적,경험 및 관계
1514,4,4,여행 편의성,가족형,1,서울 단기형,524.39,5.0,경험형,K-컬처형
1516,3,1,여행 편의성,가족형,1,서울 단기형,55.125,4.0,특수 목적,경험 및 관계
1518,3,1,안전 및 퀄리티,가족형,2,서울 단기형,301.036,5.0,"역사, 전통, 자연",K-컬처형
1520,1,3,여행 편의성,친구형,1,서울 심층형,725.859259259259,9.0,특수 목적,경험 및 관계
1524,3,1,여행 편의성,복합형(가족+친구),1,서울 단기형,207.198,5.0,"역사, 전통, 자연",경험 및 관계
1527,2,1,여행 편의성,친구형,1,서울 단기형,363.236,5.0,특수 목적,K-컬처형
1530,3,1,안전 및 퀄리티,가족형,1,서울 심층형,90.0,7.0,특수 목적,경험 및 관계
1532,2,4,여행 편의성,친구형,1,서울 심층형,255.8,6.0,경험형,경험 및 관계
1533,2,1,여행 편의성,가족형,1,서울 단기형,358.12,5.0,경험형,K-컬처형
1534,4,2,안전 및 퀄리티,가족형,2,서울 단기형,511.6,5.0,도시 소비형,가성비 및 접근성
1537,5,2,여행 편의성,가족형,1,서울 단기형,230.22,5.0,경험형,K-컬처형
1538,3,3,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),468.966666666667,6.0,도시 소비형,K-컬처형
1540,2,3,안전 및 퀄리티,가족형,1,서울 단기형,407.68125,4.0,도시 소비형,가성비 및 접근성
1541,5,4,여행 편의성,가족형,2,서울 단기형,281.38,5.0,도시 소비형,가성비 및 접근성
1542,4,4,안전 및 퀄리티,친구형,1,서울 단기형,1534.8,5.0,도시 소비형,가성비 및 접근성
1544,2,1,가성비,친구형,2,서울 심층형,78.4535,6.0,도시 소비형,K-컬처형
1546,4,2,여행 편의성,가족형,3,서울 심층형,181.946153846154,13.0,"역사, 전통, 자연",경험 및 관계
1548,3,1,안전 및 퀄리티,가족형,1,서울 심층형,225.266666666667,6.0,"역사, 전통, 자연",경험 및 관계
1549,4,1,가성비,가족형,1,서울 심층형,217.221428571429,7.0,"역사, 전통, 자연",경험 및 관계
1550,3,1,여행 편의성,혼자형,1,서울 심층형,193.085714285714,7.0,"역사, 전통, 자연",경험 및 관계
1551,3,2,여행 편의성,친구형,1,서울 단기형,328.5,4.0,도시 소비형,경험 및 관계
1552,3,4,여행 편의성,친구형,1,서울 단기형,730.0,4.0,도시 소비형,가성비 및 접근성
1553,3,3,여행 편의성,가족형,1,서울 단기형,389.333333333333,3.0,특수 목적,경험 및 관계
1554,5,4,안전 및 퀄리티,가족형,1,서울 단기형,730.0,3.0,경험형,경험 및 관계
1560,5,1,여행 편의성,혼자형,1,서울 단기형,459.9,4.0,도시 소비형,가성비 및 접근성
1561,2,4,여행 편의성,가족형,2,서울 심층형,58.8235294117647,34.0,"역사, 전통, 자연",가성비 및 접근성
1562,3,2,여행 편의성,가족형,1,서울 단기형,365.0,4.0,특수 목적,가성비 및 접근성
1565,3,1,여행 편의성,친구형,1,서울 단기형,287.775,4.0,도시 소비형,K-컬처형
1590,5,1,여행 편의성,가족형,1,서울 심층형,174.75,8.0,특수 목적,K-컬처형
1591,4,3,안전 및 퀄리티,가족형,1,서울 단기형,441.65,4.0,도시 소비형,K-컬처형
1592,4,3,안전 및 퀄리티,가족형,1,서울 단기형,401.5,4.0,도시 소비형,가성비 및 접근성
1593,3,1,가성비,가족형,3,수도권/지방형(탐험가형),355.3,5.0,특수 목적,K-컬처형
1595,6,4,여행 편의성,혼자형,1,서울 심층형,234.483333333333,6.0,도시 소비형,K-컬처형
1596,3,4,여행 편의성,가족형,3,수도권/지방형(탐험가형),235.79,5.0,도시 소비형,K-컬처형
1598,5,3,여행 편의성,가족형,2,서울 심층형,259.628571428571,7.0,"역사, 전통, 자연",가성비 및 접근성
1607,4,4,여행 편의성,친구형,2,서울 단기형,949.0,4.0,경험형,경험 및 관계
1610,3,2,안전 및 퀄리티,혼자형,3,수도권/지방형(탐험가형),298.314545454545,11.0,도시 소비형,경험 및 관계
1612,5,2,안전 및 퀄리티,가족형,1,서울 심층형,226.08,7.0,경험형,경험 및 관계
1614,2,1,여행 편의성,혼자형,1,서울 심층형,270.0,10.0,"역사, 전통, 자연",경험 및 관계
1615,2,1,가성비,친구형,1,서울 심층형,198.0,10.0,"역사, 전통, 자연",경험 및 관계
1617,2,1,여행 편의성,가족형,1,서울 심층형,226.875,8.0,"역사, 전통, 자연",경험 및 관계
1621,2,1,여행 편의성,혼자형,1,서울 심층형,269.285714285714,7.0,"역사, 전통, 자연",경험 및 관계
1625,5,1,여행 편의성,가족형,1,서울 심층형,277.5,6.0,"역사, 전통, 자연",경험 및 관계
1626,6,1,안전 및 퀄리티,가족형,1,서울 심층형,612.3,8.0,도시 소비형,경험 및 관계
1629,3,1,여행 편의성,가족형,1,서울 심층형,260.714285714286,7.0,특수 목적,경험 및 관계
1630,4,3,가성비,가족형,1,서울 심층형,254.34,8.0,도시 소비형,경험 및 관계
1631,3,2,가성비,친구형,1,서울 단기형,603.466666666667,3.0,도시 소비형,가성비 및 접근성
1634,6,1,안전 및 퀄리티,가족형,1,서울 단기형,324.0,5.0,경험형,경험 및 관계
1635,3,4,안전 및 퀄리티,가족형,2,서울 단기형,452.16,5.0,도시 소비형,경험 및 관계
1637,5,4,안전 및 퀄리티,가족형,1,서울 단기형,438.0,4.0,특수 목적,K-컬처형
1649,5,1,가성비,가족형,1,서울 심층형,281.666666666667,6.0,"역사, 전통, 자연",경험 및 관계
1656,3,1,가성비,친구형,1,서울 심층형,262.857142857143,7.0,"역사, 전통, 자연",경험 및 관계
1657,3,4,안전 및 퀄리티,친구형,1,서울 단기형,503.7,4.0,도시 소비형,K-컬처형
1658,3,2,안전 및 퀄리티,가족형,1,서울 단기형,485.45,4.0,"역사, 전통, 자연",경험 및 관계
1661,4,1,여행 편의성,가족형,1,서울 심층형,73.2116666666666,6.0,"역사, 전통, 자연",K-컬처형
1662,2,2,안전 및 퀄리티,친구형,1,서울 단기형,334.642,5.0,경험형,K-컬처형
1663,5,1,가성비,직장형,1,서울 단기형,985.5,4.0,경험형,K-컬처형
1664,2,1,여행 편의성,직장형,1,서울 심층형,249.695333333333,6.0,도시 소비형,경험 및 관계
1665,2,2,여행 편의성,가족형,1,서울 단기형,408.524,5.0,경험형,K-컬처형
1666,3,1,여행 편의성,혼자형,1,서울 심층형,347.857142857143,7.0,경험형,경험 및 관계
1668,3,1,안전 및 퀄리티,직장형,1,서울 심층형,212.241033333333,6.0,도시 소비형,경험 및 관계
1671,5,1,안전 및 퀄리티,직장형,1,서울 심층형,237.210566666667,6.0,도시 소비형,가성비 및 접근성
1675,3,4,안전 및 퀄리티,친구형,1,서울 단기형,588.866666666667,3.0,"역사, 전통, 자연",가성비 및 접근성
1676,2,1,안전 및 퀄리티,직장형,1,서울 심층형,224.7258,6.0,도시 소비형,가성비 및 접근성
1679,3,1,안전 및 퀄리티,단체형,2,서울 심층형,166.463555555556,9.0,도시 소비형,가성비 및 접근성
1681,2,1,가성비,가족형,1,서울 심층형,411.875,8.0,특수 목적,경험 및 관계
1682,2,1,여행 편의성,단체형,1,서울 심층형,322.971428571429,7.0,경험형,경험 및 관계
1683,4,1,여행 편의성,직장형,1,서울 심층형,187.2715,6.0,도시 소비형,경험 및 관계
1684,5,1,안전 및 퀄리티,가족형,3,서울 심층형,287.085714285714,7.0,특수 목적,경험 및 관계
1686,3,1,여행 편의성,가족형,3,서울 심층형,160.962962962963,9.0,특수 목적,경험 및 관계
1687,4,2,여행 편의성,혼자형,1,서울 심층형,282.6,8.0,"역사, 전통, 자연",가성비 및 접근성
1690,3,1,가성비,친구형,1,서울 단기형,381.5625,4.0,"역사, 전통, 자연",K-컬처형
1696,3,1,안전 및 퀄리티,가족형,2,서울 심층형,285.594285714286,7.0,"역사, 전통, 자연",경험 및 관계
1697,2,1,여행 편의성,가족형,2,서울 심층형,417.5,8.0,"역사, 전통, 자연",경험 및 관계
1708,4,2,여행 편의성,가족형,1,서울 단기형,337.6128,4.0,도시 소비형,경험 및 관계
1709,4,3,여행 편의성,가족형,2,서울 심층형,192.225,6.0,경험형,가성비 및 접근성
1710,3,1,여행 편의성,친구형,1,서울 단기형,435.0,5.0,경험형,경험 및 관계
1712,4,1,가성비,가족형,1,서울 심층형,236.25,8.0,"역사, 전통, 자연",경험 및 관계
1717,4,1,여행 편의성,가족형,1,서울 심층형,255.0,8.0,"역사, 전통, 자연",경험 및 관계
1719,2,1,여행 편의성,혼자형,2,서울 단기형,375.0,3.0,특수 목적,가성비 및 접근성
1721,2,3,여행 편의성,가족형,4,서울 심층형,117.289285714286,14.0,"역사, 전통, 자연",경험 및 관계
1722,2,2,여행 편의성,혼자형,1,서울 심층형,321.428571428571,7.0,경험형,경험 및 관계
1723,3,4,안전 및 퀄리티,혼자형,1,서울 단기형,838.8,4.0,도시 소비형,가성비 및 접근성
1724,2,1,여행 편의성,가족형,1,서울 심층형,431.25,8.0,"역사, 전통, 자연",경험 및 관계
1726,2,1,여행 편의성,친구형,2,서울 단기형,328.41,4.0,도시 소비형,경험 및 관계
1729,4,4,여행 편의성,혼자형,1,서울 단기형,192.225,4.0,도시 소비형,경험 및 관계
1733,3,1,여행 편의성,친구형,1,서울 심층형,455.714285714286,7.0,"역사, 전통, 자연",경험 및 관계
1742,5,1,여행 편의성,가족형,1,서울 심층형,461.25,8.0,"역사, 전통, 자연",경험 및 관계
1750,1,1,안전 및 퀄리티,가족형,1,서울 단기형,781.25,4.0,경험형,경험 및 관계
1751,2,2,여행 편의성,혼자형,1,수도권/지방형(탐험가형),572.0,5.0,경험형,경험 및 관계
1756,3,1,여행 편의성,가족형,2,서울 심층형,115.916666666667,6.0,"역사, 전통, 자연",K-컬처형
1764,2,2,여행 편의성,혼자형,1,서울 심층형,146.055,6.0,"역사, 전통, 자연",K-컬처형
1765,6,1,안전 및 퀄리티,가족형,1,서울 단기형,329.4216,5.0,도시 소비형,경험 및 관계
1766,4,3,안전 및 퀄리티,혼자형,1,서울 심층형,273.353142857143,7.0,도시 소비형,경험 및 관계
1767,2,2,여행 편의성,친구형,2,서울 단기형,159.965,4.0,도시 소비형,K-컬처형
1768,3,1,여행 편의성,가족형,1,서울 단기형,340.0,5.0,특수 목적,K-컬처형
1769,2,4,여행 편의성,친구형,2,수도권/지방형(탐험가형),165.18125,8.0,경험형,경험 및 관계
1772,2,1,여행 편의성,친구형,1,서울 심층형,284.484,6.0,경험형,K-컬처형
1774,2,1,여행 편의성,복합형(가족+친구),2,서울 심층형,160.491428571429,14.0,"역사, 전통, 자연",경험 및 관계
1776,3,1,여행 편의성,가족형,1,서울 심층형,298.071428571429,7.0,도시 소비형,가성비 및 접근성
1777,2,1,여행 편의성,친구형,1,서울 심층형,197.672727272727,11.0,경험형,경험 및 관계
1778,4,4,안전 및 퀄리티,가족형,1,서울 심층형,1212.15714285714,7.0,경험형,K-컬처형
1782,3,1,가성비,가족형,2,서울 심층형,217.44,6.0,"역사, 전통, 자연",경험 및 관계
1786,3,1,안전 및 퀄리티,혼자형,4,서울 심층형,120.8,27.0,경험형,경험 및 관계
1787,3,1,가성비,가족형,1,서울 단기형,851.64,3.0,"역사, 전통, 자연",경험 및 관계
1788,3,1,안전 및 퀄리티,가족형,1,서울 단기형,361.66,5.0,특수 목적,가성비 및 접근성
1790,2,4,안전 및 퀄리티,혼자형,3,서울 심층형,278.2,6.0,도시 소비형,가성비 및 접근성
1791,2,1,안전 및 퀄리티,직장형,1,서울 단기형,306.02,5.0,도시 소비형,경험 및 관계
1794,3,1,여행 편의성,직장형,1,서울 단기형,548.2246,5.0,"역사, 전통, 자연",경험 및 관계
1795,3,1,여행 편의성,혼자형,2,서울 단기형,186.394,5.0,도시 소비형,가성비 및 접근성
1799,3,2,가성비,가족형,1,서울 단기형,182.221,5.0,도시 소비형,가성비 및 접근성
1800,3,4,안전 및 퀄리티,단체형,1,서울 단기형,414.8,3.0,특수 목적,가성비 및 접근성
1804,2,3,가성비,친구형,1,서울 단기형,276.533333333333,3.0,도시 소비형,가성비 및 접근성
1805,4,1,안전 및 퀄리티,친구형,1,서울 단기형,512.266666666667,3.0,도시 소비형,K-컬처형
1807,2,2,여행 편의성,친구형,1,서울 단기형,231.833333333333,3.0,경험형,K-컬처형
1809,2,1,여행 편의성,혼자형,1,서울 심층형,176.666666666667,30.0,경험형,K-컬처형
1810,2,1,여행 편의성,혼자형,1,서울 단기형,353.856666666667,3.0,도시 소비형,가성비 및 접근성
1812,2,2,안전 및 퀄리티,친구형,0,서울 단기형,342.266666666667,3.0,도시 소비형,경험 및 관계
1813,1,1,여행 편의성,가족형,1,서울 심층형,231.833333333333,6.0,경험형,K-컬처형
1814,3,4,여행 편의성,가족형,1,서울 단기형,330.800512,5.0,경험형,K-컬처형
1815,2,4,안전 및 퀄리티,가족형,1,서울 심층형,63.95,10.0,경험형,K-컬처형
1816,2,1,안전 및 퀄리티,혼자형,2,수도권/지방형(탐험가형),185.466666666667,3.0,"역사, 전통, 자연",가성비 및 접근성
1817,2,1,가성비,가족형,1,서울 심층형,468.966666666667,6.0,도시 소비형,경험 및 관계
1819,2,1,안전 및 퀄리티,기타형,1,서울 심층형,185.466666666667,6.0,도시 소비형,K-컬처형
1820,2,2,여행 편의성,친구형,1,서울 단기형,639.5,1.0,도시 소비형,K-컬처형
1822,2,1,안전 및 퀄리티,가족형,1,서울 심층형,319.75,8.0,도시 소비형,경험 및 관계
1826,3,1,여행 편의성,친구형,1,서울 단기형,184.5985,5.0,도시 소비형,K-컬처형
1828,4,4,여행 편의성,혼자형,3,수도권/지방형(탐험가형),382.608695652174,23.0,도시 소비형,경험 및 관계
1829,3,4,여행 편의성,혼자형,1,서울 심층형,144.0,6.0,경험형,K-컬처형
1830,2,1,여행 편의성,친구형,3,서울 심층형,164.892,15.0,경험형,K-컬처형
1831,3,2,안전 및 퀄리티,친구형,1,서울 심층형,264.25,12.0,특수 목적,K-컬처형
1832,4,4,여행 편의성,가족형,1,서울 단기형,158.4,5.0,도시 소비형,경험 및 관계
1834,3,2,여행 편의성,가족형,2,서울 단기형,306.02,5.0,도시 소비형,경험 및 관계
1838,2,1,여행 편의성,친구형,1,서울 단기형,230.02,5.0,특수 목적,경험 및 관계
1839,2,1,여행 편의성,혼자형,1,서울 심층형,492.9,6.0,경험형,경험 및 관계
1840,3,1,안전 및 퀄리티,가족형,3,수도권/지방형(탐험가형),180.0,10.0,특수 목적,경험 및 관계
1841,5,4,여행 편의성,가족형,1,서울 심층형,132.0,8.0,특수 목적,가성비 및 접근성
1842,2,1,여행 편의성,혼자형,1,서울 단기형,178.048,5.0,경험형,K-컬처형
1843,3,2,안전 및 퀄리티,가족형,1,서울 단기형,201.6,5.0,특수 목적,경험 및 관계
1844,4,4,안전 및 퀄리티,혼자형,3,서울 심층형,286.538,11.0,"역사, 전통, 자연",경험 및 관계
1845,2,4,여행 편의성,혼자형,1,서울 단기형,249.9,2.0,경험형,K-컬처형
1846,5,2,안전 및 퀄리티,가족형,1,서울 단기형,256.0,5.0,특수 목적,K-컬처형
1848,3,4,가성비,혼자형,1,서울 단기형,243.425,4.0,특수 목적,K-컬처형
1849,4,3,가성비,친구형,1,서울 단기형,234.6,4.0,도시 소비형,K-컬처형
1850,5,2,여행 편의성,가족형,1,서울 단기형,136.0,5.0,도시 소비형,K-컬처형
1851,2,1,안전 및 퀄리티,가족형,1,서울 단기형,288.0,5.0,경험형,가성비 및 접근성
1852,4,4,안전 및 퀄리티,혼자형,1,서울 심층형,514.806666666667,6.0,경험형,경험 및 관계
1853,4,1,안전 및 퀄리티,가족형,2,서울 단기형,287.473333333333,5.0,경험형,K-컬처형
1856,5,1,여행 편의성,가족형,1,서울 단기형,960.0,4.0,도시 소비형,경험 및 관계
1857,3,1,여행 편의성,가족형,2,서울 단기형,236.47,5.0,"역사, 전통, 자연",K-컬처형
1860,2,1,안전 및 퀄리티,가족형,2,서울 심층형,240.973333333333,12.0,"역사, 전통, 자연",K-컬처형
1861,3,4,가성비,혼자형,1,서울 단기형,357.0,4.0,도시 소비형,경험 및 관계
1862,5,1,안전 및 퀄리티,가족형,2,수도권/지방형(탐험가형),375.542857142857,7.0,"역사, 전통, 자연",경험 및 관계
1863,2,2,안전 및 퀄리티,친구형,1,서울 단기형,401.2,3.0,경험형,가성비 및 접근성
1864,2,1,여행 편의성,친구형,1,서울 단기형,358.512,5.0,도시 소비형,경험 및 관계
1868,3,4,여행 편의성,친구형,1,서울 단기형,314.202,5.0,도시 소비형,경험 및 관계
1872,3,4,가성비,친구형,1,서울 단기형,329.164,5.0,도시 소비형,경험 및 관계
1873,2,4,여행 편의성,가족형,1,서울 심층형,274.303333333333,6.0,특수 목적,경험 및 관계
1874,3,1,안전 및 퀄리티,가족형,1,서울 심층형,504.9675,6.0,특수 목적,경험 및 관계
1875,5,2,안전 및 퀄리티,가족형,2,수도권/지방형(탐험가형),224.43,6.0,"역사, 전통, 자연",경험 및 관계
1877,2,3,가성비,친구형,1,서울 심층형,127.9,8.0,도시 소비형,가성비 및 접근성
1878,3,4,안전 및 퀄리티,혼자형,1,서울 단기형,524.39,3.0,경험형,K-컬처형
1880,3,3,여행 편의성,가족형,1,서울 심층형,277.116666666667,6.0,도시 소비형,K-컬처형
1882,3,1,여행 편의성,가족형,1,서울 심층형,211.4,6.0,특수 목적,K-컬처형
1885,2,1,여행 편의성,친구형,2,수도권/지방형(탐험가형),101.717540816327,49.0,특수 목적,경험 및 관계
1887,3,1,여행 편의성,혼자형,2,수도권/지방형(탐험가형),460.0,6.0,도시 소비형,경험 및 관계
1888,5,1,여행 편의성,가족형,1,서울 심층형,105.7,11.0,도시 소비형,경험 및 관계
1903,2,1,가성비,혼자형,3,서울 심층형,239.184,10.0,"역사, 전통, 자연",K-컬처형
1905,4,4,안전 및 퀄리티,혼자형,2,서울 심층형,274.193548387097,31.0,경험형,경험 및 관계
1906,2,1,안전 및 퀄리티,가족형,1,서울 심층형,139.474422222222,9.0,특수 목적,경험 및 관계
1908,2,2,여행 편의성,가족형,1,서울 단기형,369.197,3.0,특수 목적,경험 및 관계
1909,3,1,안전 및 퀄리티,가족형,1,서울 심층형,1687.5,11.0,도시 소비형,K-컬처형
1911,2,2,여행 편의성,혼자형,1,서울 심층형,185.466666666667,6.0,도시 소비형,가성비 및 접근성
1916,5,2,여행 편의성,가족형,2,서울 심층형,318.394285714286,7.0,경험형,경험 및 관계
1917,2,1,가성비,혼자형,1,서울 심층형,232.389,8.0,"역사, 전통, 자연",K-컬처형
1923,4,2,안전 및 퀄리티,가족형,1,서울 단기형,543.6,3.0,"역사, 전통, 자연",K-컬처형
1926,2,1,여행 편의성,친구형,4,서울 심층형,142.172307692308,13.0,도시 소비형,K-컬처형
