아이디,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,숙박시설_그룹,여행동반자_그룹,방문 지역 수,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측
1722,2,2,2,2,5.0,2,호텔,혼자형,1,0.202,0.0385756676557863,0.1424332344213647,0.0356083086053412,0.0,0.4747774480712164,0.0890207715133532,0.0178041543026706,서울 심층형,321.428571428571,7.0
1723,1,3,4,4,1.0,5,호텔,혼자형,1,0.027,0.0164308534915563,0.0,0.0,0.0,0.0365130077590143,0.9128251939753536,0.0068461889548151,서울 단기형,838.8,4.0
1724,2,2,1,1,5.0,6,호텔,가족형,1,0.186,0.0482758620689655,0.0551724137931034,0.0,0.0,0.5517241379310345,0.1379310344827586,0.0206896551724137,서울 심층형,431.25,8.0
1726,1,2,1,1,1.0,6,게스트하우스/호스텔,친구형,2,0.235,0.1008403361344538,0.1764705882352946,0.0,0.0,0.2016806722689073,0.2521008403361337,0.0336134453781512,서울 단기형,328.41,4.0
1729,1,4,4,2,1.0,6,게스트하우스/호스텔,혼자형,1,0.543,0.0543478260869565,0.0,0.0,0.0,0.1086956521739132,0.2717391304347826,0.0217391304347826,서울 단기형,192.225,4.0
1733,2,3,1,1,4.0,1,호텔,친구형,1,0.235,0.0588235294117647,0.0504201680672268,0.0,0.0,0.5042016806722689,0.1260504201680672,0.0252100840336134,서울 심층형,455.714285714286,7.0
1742,2,5,1,1,3.0,1,호텔,가족형,1,0.237,0.0532544378698224,0.0,0.0,0.0,0.591715976331361,0.1183431952662721,0.0,서울 심층형,461.25,8.0
1750,1,1,1,3,5.0,3,호텔,가족형,1,0.317,0.0992063492063491,0.0515873015873016,0.0,0.0,0.3968253968253971,0.1190476190476189,0.0158730158730158,서울 단기형,781.25,4.0
1751,2,2,2,2,7.0,6,호텔,혼자형,1,0.243,0.2205882352941176,0.0,0.0,0.0,0.3676470588235294,0.1470588235294117,0.0220588235294117,수도권/지방형(탐험가형),572.0,5.0
1756,1,3,1,7,5.0,6,호텔,가족형,2,0.308,0.3076923076923077,0.0,0.0,0.0,0.3846153846153846,0.0,0.0,서울 심층형,115.916666666667,6.0
1764,1,2,2,7,5.0,2,민박/펜션,혼자형,1,0.347,0.12,0.0,0.0,0.0,0.3999999999999999,0.1333333333333333,0.0,서울 심층형,146.055,6.0
